namelsad,sumlev,geocode,state,placefp,pop2020,hu2020
Mount Holly city,160,3744960,37,44960,17703,7687
Mount Olive town,160,3745100,37,45100,4198,1969
Mount Pleasant town,160,3745140,37,45140,1671,692
Moyock CDP,160,3745460,37,45460,5154,1775
Mulberry CDP,160,3745560,37,45560,2275,1058
Murfreesboro town,160,3745640,37,45640,2619,1069
Murphy town,160,3745660,37,45660,1608,825
Murraysville CDP,160,3745720,37,45720,16582,7303
Myrtle Grove CDP,160,3745840,37,45840,11476,4743
Nags Head town,160,3745880,37,45880,3168,5130
Nashville town,160,3746000,37,46000,5632,2625
Navassa town,160,3746060,37,46060,1367,619
Nebo CDP,160,3746100,37,46100,1790,833
Neuse Forest CDP,160,3746280,37,46280,2110,885
New Bern city,160,3746340,37,46340,31291,15655
New Hope CDP,160,3746650,37,46650,1588,706
Newland town,160,3746740,37,46740,715,380
New London town,160,3746820,37,46820,607,258
Newport town,160,3746860,37,46860,4364,1918
Newton city,160,3747000,37,47000,13148,5776
Newton Grove town,160,3747020,37,47020,585,263
Norlina town,160,3747240,37,47240,920,489
Norman town,160,3747260,37,47260,100,53
Northchase CDP,160,3747485,37,47485,3842,1696
Northlakes CDP,160,3747695,37,47695,1543,649
North Topsail Beach town,160,3747845,37,47845,1005,2675
Northwest city,160,3747860,37,47860,703,318
North Wilkesboro town,160,3747880,37,47880,4382,1941
Norwood town,160,3747980,37,47980,2367,1297
Oakboro town,160,3748040,37,48040,2128,884
Oak City town,160,3748060,37,48060,266,177
Oak Island town,160,3748345,37,48345,8396,9910
Oak Ridge town,160,3748480,37,48480,7474,2637
Ocean Isle Beach town,160,3748700,37,48700,867,3045
Ocracoke CDP,160,3748740,37,48740,797,966
Ogden CDP,160,3748790,37,48790,8200,3313
Old Fort town,160,3748920,37,48920,811,469
Old Hundred CDP,160,3748940,37,48940,218,92
Oriental town,160,3749380,37,49380,880,689
Orrum town,160,3749460,37,49460,59,36
Ossipee town,160,3749600,37,49600,536,255
Oxford city,160,3749800,37,49800,8628,3889
Pantego town,160,3750080,37,50080,164,83
Parkton town,160,3750340,37,50340,504,228
Parmele town,160,3750540,37,50540,243,124
Patterson Springs town,160,3750700,37,50700,571,257
Peachland town,160,3750820,37,50820,390,187
Peletier town,160,3751040,37,51040,769,501
Pembroke town,160,3751080,37,51080,2823,1263
Pikeville town,160,3751780,37,51780,712,332
Pilot Mountain town,160,3751820,37,51820,1440,734
Pinebluff town,160,3751840,37,51840,1473,639
Pinehurst village,160,3751940,37,51940,17581,9363
Pine Knoll Shores town,160,3752000,37,52000,1388,2057
Pine Level town,160,3752020,37,52020,2046,861
Pinetops town,160,3752140,37,52140,1200,610
Pinetown CDP,160,3752160,37,52160,147,71
Pineville town,160,3752220,37,52220,10602,5201
Piney Green CDP,160,3752260,37,52260,14386,6127
Pink Hill town,160,3752400,37,52400,451,215
Pinnacle CDP,160,3752500,37,52500,786,368
Pittsboro town,160,3752660,37,52660,4537,1901
Plain View CDP,160,3752685,37,52685,1923,795
Pleasant Garden town,160,3752760,37,52760,5000,2051
Pleasant Hill CDP,160,3752920,37,52920,831,427
Plymouth town,160,3753040,37,53040,3320,1755
Polkton town,160,3753140,37,53140,2250,390
Polkville city,160,3753160,37,53160,516,256
Pollocksville town,160,3753200,37,53200,268,163
Porters Neck CDP,160,3753475,37,53475,7397,3403
Potters Hill CDP,160,3753580,37,53580,437,212
Powellsville town,160,3753680,37,53680,189,117
Princeton town,160,3753820,37,53820,1315,611
Princeville town,160,3753840,37,53840,1254,631
Proctorville town,160,3753900,37,53900,121,50
Prospect CDP,160,3753950,37,53950,873,350
Pumpkin Center CDP,160,3754160,37,54160,1855,790
Raeford city,160,3754580,37,54580,4559,1946
Raemon CDP,160,3754600,37,54600,197,84
Raleigh city,160,3755000,37,55000,467665,208114
Ramseur town,160,3755040,37,55040,1774,728
Randleman city,160,3755080,37,55080,4595,1982
Ranlo town,160,3755260,37,55260,4511,1720
Raynham town,160,3755340,37,55340,60,27
Red Cross town,160,3755460,37,55460,762,344
Red Oak town,160,3755640,37,55640,3342,1373
Red Springs town,160,3755660,37,55660,3087,1520
Reidsville city,160,3755900,37,55900,14583,7280
Rennert town,160,3755940,37,55940,275,115
Rex CDP,160,3756100,37,56100,50,20
Rhodhiss town,160,3756240,37,56240,997,427
Richfield town,160,3756340,37,56340,582,260
Richlands town,160,3756360,37,56360,2287,892
Rich Square town,160,3756440,37,56440,894,414
Riegelwood CDP,160,3756600,37,56600,545,252
River Bend town,160,3756710,37,56710,2902,1596
River Road CDP,160,3756815,37,56815,4048,2026
Roanoke Rapids city,160,3756900,37,56900,15229,7248
Robbins town,160,3757000,37,57000,1168,465
Robbinsville town,160,3757020,37,57020,597,322
Roberdel CDP,160,3757039,37,57039,246,120
Robersonville town,160,3757100,37,57100,1269,692
Rockfish CDP,160,3757200,37,57200,3383,1306
Rockingham city,160,3757260,37,57260,9243,4357
Rockwell town,160,3757340,37,57340,2302,951
Rocky Mount city,160,3757500,37,57500,54341,26168
Rocky Point CDP,160,3757540,37,57540,1476,579
Rodanthe CDP,160,3757580,37,57580,213,530
Rolesville town,160,3757640,37,57640,9475,3086
