sumlev,geocode,namelsad,coname,state,county,placefp,pop2020,hu2020
155,3739680155,Lumber Bridge town,Robeson County,37,155,39680,82,37
155,3739700155,Lumberton city,Robeson County,37,155,39700,19025,8531
155,3739880071,McAdenville town,Gaston County,37,71,39880,890,375
155,3739960065,Macclesfield town,Edgecombe County,37,65,39960,413,221
155,3740140155,McDonald town,Robeson County,37,155,40140,94,41
155,3740240007,McFarlan town,Anson County,37,7,40240,94,41
155,3740460081,McLeansville CDP,Guilford County,37,81,40460,1113,466
155,3740540185,Macon town,Warren County,37,185,40540,110,54
155,3740560157,Madison town,Rockingham County,37,157,40560,2129,1131
155,3740600087,Maggie Valley town,Haywood County,37,87,40600,1687,1709
155,3740640061,Magnolia town,Duplin County,37,61,40640,831,389
155,3740660035,Maiden town,Catawba County,37,35,40660,3736,1492
155,3740660109,Maiden town,Lincoln County,37,109,40660,0,1
155,3740860085,Mamers CDP,Harnett County,37,85,40860,814,350
155,3740980055,Manns Harbor CDP,Dare County,37,55,40980,790,472
155,3741060055,Manteo town,Dare County,37,55,41060,1600,1344
155,3741220039,Marble CDP,Cherokee County,37,39,41220,278,152
155,3741380155,Marietta town,Robeson County,37,155,41380,111,53
155,3741420111,Marion city,McDowell County,37,111,41420,7717,3142
155,3741540191,Mar-Mac CDP,Wayne County,37,191,41540,3184,1506
155,3741580115,Marshall town,Madison County,37,115,41580,777,462
155,3741600031,Marshallberg CDP,Carteret County,37,31,41600,341,277
155,3741620115,Mars Hill town,Madison County,37,115,41620,2007,725
155,3741640179,Marshville town,Union County,37,179,41640,2522,952
155,3741720179,Marvin village,Union County,37,179,41720,6358,1888
155,3741960119,Matthews town,Mecklenburg County,37,119,41960,29435,12156
155,3742000079,Maury CDP,Greene County,37,79,42000,1404,199
155,3742020155,Maxton town,Robeson County,37,155,42020,1902,983
155,3742020165,Maxton town,Scotland County,37,165,42020,208,78
155,3742060157,Mayodan town,Rockingham County,37,157,42060,2418,1330
155,3742100103,Maysville town,Jones County,37,103,42100,818,462
155,3742240001,Mebane city,Alamance County,37,1,42240,14626,6414
155,3742240135,Mebane city,Orange County,37,135,42240,3171,1322
155,3742480137,Mesic town,Pamlico County,37,137,42480,144,92
155,3742620101,Micro town,Johnston County,37,101,42620,458,212
155,3742640181,Middleburg town,Vance County,37,181,42640,101,43
155,3742700127,Middlesex town,Nash County,37,127,42700,912,468
155,3742760119,Midland town,Mecklenburg County,37,119,42760,0,0
155,3742760025,Midland town,Cabarrus County,37,25,42760,4684,1745
155,3742860057,Midway town,Davidson County,37,57,42860,4742,2022
155,3743160193,Millers Creek CDP,Wilkes County,37,193,43160,1931,915
155,3743200167,Millingport CDP,Stanly County,37,167,43200,588,252
155,3743260089,Mills River town,Henderson County,37,89,43260,7078,3177
155,3743300033,Milton town,Caswell County,37,33,43300,155,97
